id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lyla;Haley;Joesph.Wilderman@hotmail.com;makeover finger reel;2024-10-25T12:14:15;6223;29968
2;Alf;Ernser;Viva_Armstrong@yahoo.com;fortunately phew;2024-10-25T12:09:31;10867;2042
3;Bobby;Schroeder;Catharine.Bosco12@gmail.com;sparkling meh;2024-10-24T19:41:33;16043;16681
4;Agnes;Shields;Tevin.Ziemann98@gmail.com;card phew;2024-10-25T08:36:34;22755;12317
5;Pearlie;Johnston;Delilah.Mills@gmail.com;after;2024-10-25T12:14:22;17176;9528
6;Sophie;Sanford;Ashley.Huel@hotmail.com;statue;2024-10-25T04:47:12;1388;18429
7;Robin;Towne;Cecile25@gmail.com;randomize where;2024-10-24T21:49:59;28069;10468
8;Grayce;Leannon;Jon.Brown39@yahoo.com;next chromakey;2024-10-24T18:15:56;17500;7427
9;Faustino;Frami;Scottie96@yahoo.com;aha;2024-10-24T14:38:32;12863;24379
10;Marcellus;Schumm;Torrey.Mosciski20@gmail.com;specific;2024-10-25T02:05:53;30170;32738
